Date,Close,High,Low,Open,Volume
2013-01-02,16.581398010253906,16.761700040600363,16.357910009727583,16.726062542519166,560518000
2013-01-03,16.372108459472656,16.600732067911963,16.33888710801035,16.546671766073732,352965200
2013-01-04,15.916071891784668,16.267313102271196,15.880735994062153,16.217178644132208,594333600
2013-01-07,15.822437286376953,15.985522954753794,15.559686003430704,15.76505439588084,484156400
2013-01-08,15.865031242370605,16.063756153861867,15.742415288078048,15.98281649484253,458707200
2013-01-09,15.617069244384766,15.855960592306007,15.583544680601232,15.780154916421363,407604400
2013-01-10,15.810661315917969,15.968008227080034,15.569352180680493,15.962874299017333,601146000
2013-01-11,15.713717460632324,15.865327234219523,15.675058960325527,15.734858021526898,350506800
2013-01-14,15.153484344482422,15.327141147884834,15.055631624507523,15.18157014610639,734207600
2013-01-15,14.67540168762207,15.070132051290738,14.598689511646727,15.049293101024734,876772400
2013-01-16,15.284558296203613,15.385733644350886,14.874124580133538,14.938754349937472,690804800
2013-01-17,15.181574821472168,15.425300234599568,15.161945561090452,15.412011370484123,453678400
2013-01-18,15.100640296936035,15.167686253005208,14.99191481452969,15.055941379967573,472922800
2013-01-22,15.244697570800781,15.33862286236939,14.998859212991565,15.238355561176553,461546400
2013-01-23,15.52375316619873,15.553350278540941,15.244693526313853,15.366706210638169,861509600
2013-01-24,13.605676651000977,14.065641755162856,13.598124949001553,13.892588100544687,1460852400
2013-01-25,13.284932136535645,13.778722414792789,13.137549819683992,13.641609569261771,1208026400
2013-01-28,13.58543872833252,13.687518948418614,13.163527367265658,13.223024027323897,785517600
2013-01-29,13.84033489227295,13.898624271949608,13.654597273466528,13.847281746316154,571158000
2013-01-30,13.796843528747559,13.971105181987994,13.726474988956426,13.801977457925041,417155200
2013-01-31,13.756375312805176,13.870837914226883,13.740973523483868,13.801375828258571,319334400
2013-02-01,13.699899673461914,13.87687913052377,13.540739776409712,13.865704808316412,539484400
2013-02-04,13.358626365661621,13.769967416190463,13.348961737689574,13.708658642184217,477117200
2013-02-05,13.827347755432129,13.884730666836354,13.35560367465845,13.410872045858305,573347600
2013-02-06,13.812551498413086,14.088891787476987,13.668490156793625,13.785973772031708,593706400
2013-02-07,14.223248481750488,14.277318837315722,13.794928008130938,14.072273614240029,704580800
2013-02-08,14.428604125976562,14.544948961022202,14.224163951983027,14.398834513997373,633158400
2013-02-11,14.578965187072754,14.73115679564359,14.376046827728628,14.474771584398631,517490400
2013-02-12,14.21352481842041,14.653388026058789,14.20866434392797,14.566204481591567,609053200
2013-02-13,14.186497688293457,14.387899264383318,14.071367965964605,14.192573285200732,475207600
2013-02-14,14.173737525939941,14.327142673595882,14.0956681458122,14.110856324540347,355275200
2013-02-15,13.978410720825195,14.282184010706574,13.971120006125139,14.24238845405495,391745200
2013-02-19,13.973245620727539,14.056480471280103,13.786730509467118,14.006965582695633,435783600
2013-02-20,13.634844779968262,13.90337964074137,13.6333246641879,13.90337964074137,476302400
2013-02-21,13.550093650817871,13.644567969771868,13.451671410457573,13.548270971672617,447182400
2013-02-22,13.694379806518555,13.71837718724178,13.566491385676061,13.646991793340796,330654800
2013-02-25,13.451062202453613,13.825309995744174,13.444074861427145,13.786731177631932,372579200
2013-02-26,13.6384859085083,13.716555266991985,13.294918758496204,13.482042195086196,501499600
2013-02-27,13.504830360412598,13.743899812589538,13.385751912437113,13.622086129419412,587350400
2013-02-28,13.408533096313477,13.605073344739269,13.408533096313477,13.48903271146763,322515200
2013-03-01,13.076507568359375,13.310716475593004,13.0616227666646,13.305247629106564,552448400
2013-03-04,12.759976387023926,13.007550791818199,12.728079919852732,12.995399602198534,582755600
2013-03-05,13.096864700317383,13.219892704045185,12.781245133112,12.803420657219831,638433600
2013-03-06,12.93039608001709,13.221714851252026,12.8930315667676,13.199235143988428,460250000
2013-03-07,13.079851150512695,13.123291255802556,12.790659273726714,12.895157090169606,468473600
2013-03-08,13.114479064941406,13.227178511645661,13.02000559183649,13.056154976030474,391482000
2013-03-11,13.301299095153809,13.335929986062315,12.914595997197925,13.054635620492974,474236000
2013-03-12,13.014535903930664,13.331978803330667,12.988411660252272,13.232341492775246,465911600
2013-03-13,13.01210880279541,13.198928906514265,12.92128148744229,13.015147411762944,405549200
2013-03-14,13.138175964355469,13.20318240680542,13.075901512149734,13.148199480818585,303875600
2013-03-15,13.477185249328613,13.494500290913939,13.282466063881344,13.303123088570368,643960800
2013-03-18,13.843536376953125,13.896391627464146,13.402457851348853,13.41005194059508,606197200
2013-03-19,13.806171417236328,14.00301583818712,13.624210176883079,13.958359807107122,526775200
2013-03-20,13.732958793640137,13.901553698468613,13.657319671580101,13.895174729955828,308660800
2013-03-21,13.752707481384277,13.912188223052343,13.67281623460445,13.676461592133423,383255600
2013-03-22,14.031571388244629,14.037341987481286,13.764251663808526,13.808906075950487,395105200
2013-03-25,14.082301139831543,14.275805211246576,14.02762240125067,14.116019478980157,501135600
2013-03-26,14.008180618286133,14.150953061649178,13.989650456953337,14.13880187023063,294294000
2013-03-27,13.732958793640137,13.876339576234203,13.691949748353727,13.866011876958419,331237200
2013-03-28,13.446810722351074,13.725066561431806,13.415218430727862,13.664312216861097,442839600
2013-04-01,13.029121398925781,13.478401587019949,12.993580378797798,13.423722033766333,389732000
2013-04-02,13.055849075317383,13.309499046197129,12.95286978285465,12.989323347585497,529519200
2013-04-03,13.1226806640625,13.283376498881251,13.071646478083167,13.103846319879807,363216000
2013-04-04,12.99297046661377,13.214117269488913,12.917938892248705,13.17645020079394,358447600
2013-04-05,12.855663299560547,12.908823530467261,12.748734467184676,12.895153038348871,383695200
2013-04-08,12.947098731994629,12.986285098422611,12.834095922847636,12.905785501984829,300829200
2013-04-09,12.970491409301758,13.016664310862028,12.841995408877276,12.951657875194973,306614000
2013-04-10,13.235081672668457,13.27669910765954,12.941029259232444,13.004518032851848,375928000
2013-04-11,13.193768501281738,13.304948678556887,13.098686627693233,13.175237525381233,328364400
2013-04-12,13.056157112121582,13.188297673028437,13.034589152207078,13.188297673028437,238613200
2013-04-15,12.753902435302734,12.998135699996663,12.744789041913904,12.97109970519028,317520000
2013-04-16,12.948013305664062,12.959251940814472,12.775773820140259,12.806150987065386,305771200
2013-04-17,12.235968589782715,12.77668522924984,12.093499526527838,12.766660091164441,945056000
2013-04-18,11.90941333770752,12.326796993714948,11.8392414299396,12.30249542409342,666299200
2013-04-19,11.863240242004395,12.13876241473942,11.698290662933113,11.785474241780328,609274400
2013-04-22,12.11051082611084,12.217743873121522,11.885720275238324,11.927336077743949,429920400
2013-04-23,12.337122917175293,12.405471320883883,12.114760235473032,12.272114873382105,664238400
2013-04-24,12.316770553588867,12.614164012097461,11.923080949315263,11.954674040991524,969651200
2013-04-25,12.405472755432129,12.574370230161252,12.363551963690815,12.492047950914914,384837600
2013-04-26,12.673402786254883,12.721094997834504,12.401525950552168,12.448914787914068,764097600
2013-04-29,13.065879821777344,13.172200331081447,12.758461116492276,12.772130803555818,640326400
2013-04-30,13.450450897216797,13.52548327519908,13.125110506285614,13.217153738307536,691538400
2013-05-01,13.344435691833496,13.515763420885618,13.195587665049803,13.501486177728015,506909200
2013-05-02,13.533684730529785,13.626941452260741,13.385139289834415,13.420072740112019,421828400
2013-05-03,13.669169425964355,13.767895820657468,13.643955300151843,13.709570106385726,361300800
2013-05-06,13.995119094848633,14.040380254303054,13.800703279704765,13.843230826711402,496641600
2013-05-07,13.932843208312988,14.148217778224165,13.782171697161557,14.12452376891729,483753200
2013-05-08,14.090198516845703,14.136676417748342,13.846269436461775,13.944387466640547,472598000
2013-05-09,13.96727180480957,14.157774790270773,13.930883961083282,14.060230481249368,398487600
2013-05-10,13.85107421875,14.057172920633217,13.774934430180673,14.003966193381647,334852000
2013-05-13,13.905200004577637,14.001828183907849,13.80612713394343,13.80643251622389,316948800
