Date,Close,High,Low,Open,Volume
2013-01-02,48.71416091918945,48.837940765111696,48.34282662788761,48.837940765111696,12874200
2013-01-03,48.6453971862793,48.824191469120095,48.44597380281554,48.810440484193144,9598300
2013-01-04,49.20241165161133,49.32619150814422,48.83107208201265,48.989232025853646,11631800
2013-01-07,49.09926986694336,49.188664406034746,48.954860882349756,49.16803530058799,7548800
2013-01-08,49.106136322021484,49.27117437286693,48.99610745714783,49.037365658242926,9825300
2013-01-09,49.32618713378906,49.408703533183036,49.16802195750918,49.26429458777872,7672800
2013-01-10,49.642520904541016,49.773173641874024,49.33306861340691,49.38120493694344,11888500
2013-01-11,49.75252151489258,49.910686645586104,49.621868838020546,49.64249793192332,7766700
2013-01-14,49.89694595336914,50.05511113330512,49.76629323582028,49.92445316929127,7386000
2013-01-15,49.76628112792969,49.81441743246583,49.511843377402215,49.68375950024041,7795100
2013-01-16,49.91069793701172,50.07573597203425,49.6837673598154,49.69064547482683,8779900
2013-01-17,50.13074493408203,50.2063884515677,49.76628357517692,50.11698870555884,10570100
2013-01-18,50.357688903808594,50.357688903808594,50.05511475324829,50.130758290888366,13558600
2013-01-22,49.98633575439453,50.34391899718542,49.80066339554116,50.14449565634406,11469800
2013-01-23,50.096370697021484,50.137634145259895,49.8350600083488,49.86944009433816,10155100
2013-01-24,50.268280029296875,50.3576797829331,50.08948576848885,50.172007407276645,9369700
2013-01-25,50.83218002319336,50.83905814010459,50.24078788401157,50.28892420945818,10421500
2013-01-28,50.62587356567383,50.88718424468945,50.49521560293355,50.859677029035446,9420900
2013-01-29,51.16914367675781,51.31355266475039,50.63963880765196,50.66026791358427,12386500
2013-01-30,50.9490852355957,51.437331886569886,50.8940760359711,51.196644996538595,9245500
2013-01-31,50.83218002319336,51.13475420969549,50.73590737230014,50.94220890790904,10448700
2013-02-01,51.01095962524414,51.17599765825205,50.94219421536288,50.98345241199874,10016300
2013-02-04,50.96282958984375,51.059102224826546,50.58461191922195,50.58461191922195,9200700
2013-02-05,51.341041564941406,51.45106517280264,51.21038361204568,51.224134595604134,10230800
2013-02-06,51.843040466308594,51.84304046630859,51.244770298355185,51.279155631379545,12084000
2013-02-07,51.61610794067383,51.71238057380416,51.354797257386494,51.45106989051683,9798200
2013-02-08,51.90492630004883,51.994320809293356,51.38917785021174,51.69174670652028,8153300
2013-02-11,51.856788635253906,51.91867592931707,51.60922896607246,51.767388881876805,5697100
2013-02-12,52.124977111816406,52.16623530762847,51.86366121443505,51.86366121443505,7598900
2013-02-13,52.02870559692383,52.17311453180104,51.829282235484484,52.118100105238916,8014800
2013-02-14,52.1318473815918,52.32439261440301,51.836151417927695,51.918673051902836,9681800
2013-02-15,52.372528076171875,52.37252807617188,51.925545125453034,52.06995403326125,10528400
2013-02-19,52.92265701293945,52.950164221331356,52.23499254253255,52.28312884560249,9747400
2013-02-20,52.70949172973633,52.92954418808051,52.63384820532447,52.805764352357876,7857500
2013-02-21,52.860782623291016,52.9639281218416,52.52382317314301,52.58571571873819,9465700
2013-02-22,52.85383224487305,53.020190367244226,52.659746887368435,52.95087492362535,8571500
2013-02-25,52.38249969482422,53.138052595634704,52.38249969482422,53.00634950089908,10603300
2013-02-26,52.50727081298828,52.9162357963849,52.333979490173135,52.59738039701682,10742100
2013-02-27,52.902366638183594,52.9924762082802,52.40328685949015,52.45874134344068,8180300
2013-02-28,52.75680923461914,53.02021013394228,52.75680923461914,52.839990971030765,11806300
2013-03-01,53.16575622558594,53.21427756664155,52.49339058193809,52.53497879186302,9528300
2013-03-04,53.51234817504883,53.56780265700833,53.186564992505325,53.186564992505325,12628000
2013-03-05,53.831233978271484,53.865889079381056,53.67873672577711,53.76191319918644,9399400
2013-03-06,53.64405059814453,53.8866573432421,53.52621379173006,53.852002258759825,8535200
2013-03-07,53.89359664916992,54.039160712903225,53.78268767388873,53.803487073077214,7996500
2013-03-08,54.19859313964844,54.21938725121041,53.85893835603216,53.95598106894217,8554100
2013-03-11,54.37189865112305,54.42734786695641,53.955995157560864,54.01144966182684,8807600
2013-03-12,54.45504379272461,54.545158632424574,54.21243708666615,54.41345558266589,8790500
2013-03-13,54.44812774658203,54.53130418472024,54.20551569953035,54.42732834861677,7983400
2013-03-14,54.82939147949219,54.82939147949219,54.40656008994877,54.53133009487032,10130400
2013-03-15,54.89176940917969,54.92642450592514,54.49666534494198,54.49666534494198,18296500
2013-03-18,54.62834167480469,54.89174780625319,54.5520930881675,54.56595935215437,8005400
2013-03-19,54.66301727294922,54.822442334195316,54.41347733597721,54.746199014750445,7095800
2013-03-20,55.07197570800781,55.18288468385863,54.87789028869994,54.88482342179837,8000800
2013-03-21,54.766998291015625,55.10664784730087,54.600634791729966,54.843246906080175,8436300
2013-03-22,55.27299499511719,55.27299499511719,54.77391517401672,54.836302795869834,6873100
