Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,V,XOM
2013-01-02,16.581398010253906,12.865500450134277,17.940265655517578,48.71416091918945,31.34091567993164,22.14426040649414,0.2930767834186554,47.28628158569336,35.27124786376953,51.6925163269043
2013-01-03,16.372108459472656,12.923999786376953,17.9506893157959,48.6453971862793,31.277740478515625,21.847618103027344,0.2933071553707123,46.986446380615234,35.298484802246094,51.59926223754883
2013-01-04,15.916071891784668,12.957500457763672,18.30539894104004,49.20241165161133,31.83213233947754,21.438724517822266,0.30298444628715515,47.08182907104492,35.586788177490234,51.83818817138672
2013-01-07,15.822437286376953,13.42300033569336,18.225522994995117,49.09926986694336,31.867225646972656,21.39864158630371,0.2942289412021637,46.761539459228516,35.841007232666016,51.23798751831055
2013-01-08,15.865031242370605,13.319000244140625,18.189559936523438,49.106136322021484,31.930389404296875,21.286388397216797,0.2877776324748993,46.68659210205078,36.174713134765625,51.55849838256836
2013-01-09,15.617069244384766,13.317500114440918,18.309120178222656,49.32618713378906,31.909345626831055,21.406660079956055,0.28132617473602295,46.938720703125,36.726314544677734,51.360355377197266
2013-01-10,15.810661315917969,13.267000198364258,18.392467498779297,49.642520904541016,32.38653564453125,21.2142333984375,0.2817869782447815,47.20449447631836,36.43575668334961,51.91975784301758
2013-01-11,15.713717460632324,13.397000312805176,18.355504989624023,49.75252151489258,32.37952423095703,21.51089096069336,0.28132617473602295,47.17042922973633,36.58331298828125,52.216941833496094
2013-01-14,15.153484344482422,13.636500358581543,17.940265655517578,49.89694595336914,32.197059631347656,21.558992385864258,0.2810956835746765,47.44982147216797,36.46753692626953,52.1994743347168
2013-01-15,14.67540168762207,13.595000267028809,17.981943130493164,49.76628112792969,32.52688980102539,21.81554412841797,0.27602675557136536,47.62018966674805,36.422149658203125,52.17033767700195
2013-01-16,15.284558296203613,13.446499824523926,17.740339279174805,49.91069793701172,32.856719970703125,21.679244995117188,0.27856123447418213,47.63529586791992,36.365394592285156,52.13538360595703
2013-01-17,15.181574821472168,13.52400016784668,17.64434051513672,50.13074493408203,32.59004211425781,21.847618103027344,0.28224775195121765,47.86199188232422,36.2927360534668,52.560760498046875
2013-01-18,15.100640296936035,13.605999946594238,17.475421905517578,50.357688903808594,32.604068756103516,21.847618103027344,0.2804044485092163,48.0474967956543,35.927284240722656,52.91038513183594
