Date,Close,High,Low,Open,Volume
2013-01-02,51.6925163269043,51.698344706971184,50.83592673287885,51.15642095028681,16143700
2013-01-03,51.59926223754883,51.79738261692782,51.372004416143774,51.546815731051794,13268200
2013-01-04,51.83818817138672,51.91393931969827,51.494389368567916,51.570140516879476,11427900
2013-01-07,51.23798751831055,51.56430558743288,51.02821034651755,51.45941700153638,11799800
2013-01-08,51.55849838256836,51.55849838256835,50.865067814951985,51.1739052942512,14226400
2013-01-09,51.360355377197266,51.59344161117533,51.133097521649944,51.51186209614553,10892200
2013-01-10,51.91975784301758,52.14119175808683,51.49437959330556,51.71580906262483,13099600
2013-01-11,52.216941833496094,52.27521227731993,51.77990683619248,51.84400565812366,11645600
2013-01-14,52.1994743347168,52.2985345588229,52.047967585892096,52.129547117009004,9606700
2013-01-15,52.17033767700195,52.216955822850366,51.86150024082061,51.966388846103996,9195400
2013-01-16,52.13538360595703,52.14121198644367,51.90229728976014,51.9547438226365,9645000
2013-01-17,52.560760498046875,52.99197172653233,52.21113325675586,52.3043695588343,13400300
2013-01-18,52.91038513183594,52.927865824707474,52.34515235165092,52.496654653704915,17196000
2013-01-22,52.98030471801758,52.99196147639843,52.566578710511756,52.60154009415287,11897500
2013-01-23,52.85211944580078,52.9570080670745,52.68896035620873,52.73557850916411,10906800
2013-01-24,53.230857849121094,53.446463365662744,52.881230766262654,52.95698189306128,11100000
2013-01-25,53.45231246948242,53.49310223753632,53.102680805304686,53.35907617350135,11090600
2013-01-28,53.09102249145508,53.41734059900959,52.8928976077607,53.41734059900959,11617500
2013-01-29,53.46977615356445,53.56883635221753,53.143453667192745,53.14928204527524,11700600
2013-01-30,52.83462142944336,53.44647226058615,52.66563401469202,53.1259781212732,15645400
2013-01-31,52.426734924316406,53.14929842802351,52.292708861606016,52.846289360582226,15991500
2013-02-01,52.4675407409668,52.73558850262797,52.071295257260594,52.70062710416209,15699200
2013-02-04,51.94889831542969,52.222774313237124,51.76825414591294,52.100405037871084,13347300
2013-02-05,52.29270935058594,52.554933098579696,52.1062412044743,52.37428888665032,11679700
2013-02-06,52.32184600830078,52.380116469495576,51.95473810159747,52.07710740383191,11768700
2013-02-07,51.75298309326172,52.321826796100154,51.37766436700479,52.3159611826471,13463300
2013-02-08,51.96412658691406,52.07555092783551,51.67090840482975,51.89961822892317,11412300
2013-02-11,51.77058410644531,51.905466393481404,51.588790326405814,51.811634459168836,8764700
2013-02-12,51.87614440917969,51.96997634641109,51.55946833225327,51.752993347178254,9752100
2013-02-13,51.999305725097656,52.05794846035472,51.74713793675375,51.87615463881164,8940300
2013-02-14,51.911338806152344,52.08140586840876,51.64157864765543,51.80578009420539,13238900
2013-02-15,51.817508697509766,51.964117763658415,51.48910582106596,51.9406597761762,15696900
2013-02-19,52.3805046081543,52.43328621629625,51.829252902131174,51.92308488364793,12158900
